,English,German,Japanese,Spanish,Pirate,UwU,Binary,Chinese,Korean,
ui_settings_developer,Developer,Entwicklung,開発者,Desarrollador,,,,,,
ui_textureDropHint,Drop a texture to assign it. Click to locate the assigned asset in the Project window.,,,,,,,,,
ui_textureCubeFaceHint,Cubemap face. This does not change the material.,,,,,,,,,
ui_textureSliceHint,Preview slice 1–{0}. This does not change the material.,,,,,,,,,
ui_textureAlphaHint,"Alpha · black is transparent, white is opaque",,,,,,,,,
ui_textureUnsupportedChannels,Asset preview · channel inspection is unavailable for this texture type.,,,,,,,,,
ui_sdfBakerUnavailable,The SDF baker is unavailable.,,,,,,,,,
ui_sdfBakeDescription,"Bake the mesh volume and bind data, then assign the results to the selected materials.",,,,,,,,,
ui_sdfBakeSelectMesh,Select a mesh object using this material to bake its volume and bind data.,,,,,,,,,
ui_alpha,Alpha,Alpha,アルファ,Alfa,,,,透明度,알파,
ui_anisotropy,Anisotropy,Anisotropie,異方性,Anisotropía,,,,各向异性,이방성,
ui_anisotropy_help,Texture filtering quality at oblique viewing angles.,,,,,,,,,
ui_apply_gradient,Apply gradient,Verlauf anwenden,グラデーションを適用,Aplicar degradado,,,,应用渐变,그라디언트 적용,
ui_automatic,Automatic,,,,,,,,,
ui_blue,Blue,Blau,青,Azul,,,,蓝,파랑,
ui_choose_texture,Choose texture…,,,,,,,,,
ui_create_gradient_texture,Create gradient texture,Verlaufstextur erstellen,グラデーションテクスチャを作成,Crear textura de degradado,,,,创建渐变纹理,그라디언트 텍스처 만들기,
ui_create_texture,Create texture,Textur erstellen,テクスチャを作成,Crear textura,,,,创建纹理,텍스처 만들기,
ui_custom,Custom,,,,,,,,,
ui_custom_texture_folder_help,Used when Texture save location is Custom folder. Choose a folder inside Assets.,,,,,,,,,
ui_direction,Direction,Richtung,方向,Dirección,,,,方向,방향,
ui_discard,Discard,Verwerfen,破棄,Descartar,,,,放弃,버리기,
ui_editor_language,Editor language,Editorsprache,エディターの言語,Idioma del editor,,,,编辑器语言,에디터 언어,
ui_enum_TextureDisplayType_big,Large,Groß,大,Grande,,,,大,크게,
ui_enum_TextureDisplayType_small,Small,Klein,小,Pequeño,,,,小,작게,
ui_enum_TextureImporterFormat_AutomaticCompressed,Automatic (compressed),Automatisch (komprimiert),自動（圧縮）,Automático (comprimido),,,,自动（压缩）,자동 (압축),
ui_enum_TextureImporterFormat_AutomaticTruecolor,Automatic (uncompressed),Automatisch (unkomprimiert),自動（非圧縮）,Automático (sin comprimir),,,,自动（未压缩）,자동 (비압축),
ui_enum_TextureSaveLocation_custom,Custom folder,Eigener Ordner,カスタムフォルダー,Carpeta personalizada,,,,自定义文件夹,사용자 지정 폴더,
ui_enum_TextureSaveLocation_material,Beside material,Beim Material,マテリアルと同じ場所,Junto al material,,,,材质旁,머티리얼 옆,
ui_filtering,Filtering,Filterung,フィルタリング,Filtrado,,,,过滤,필터링,
ui_global_links,Global links,,,,,,,,,
ui_gradient,Gradient,Verlauf,グラデーション,Degradado,,,,渐变,그라디언트,
ui_gradient_direction_hint,Direction from the first color stop to the last. Editable dimensions rotate with the gradient; shader-fixed dimensions stay unchanged.,,,,,,,,,
ui_gradient_edit_hint,Click to edit gradient colors and opacity.,,,,,,,,,
ui_gradient_fixed_settings,Texture settings are fixed by this shader.,,,,,,,,,
ui_gradient_reopen,Scripts reloaded. Reopen Gradient from the texture card to create its texture.,,,,,,,,,
ui_gradient_save_failed,Could not save the gradient. Your draft is still available.,,,,,,,,,
ui_green,Green,Grün,緑,Verde,,,,绿,초록,
ui_horizontal,Horizontal,Horizontal,横方向,Horizontal,,,,水平,가로,
ui_lock_shader,Lock In Optimized Shader,,,,,,,,,
ui_locked_property_suffix,Locked property suffix,,,,,,,,,
ui_multiple_textures,Multiple textures,,,,,,,,,
ui_name,Name,,,,,,,,,
ui_packer_animation_hint,Exit Animation mode to edit texture channels. Temporary previews cannot be recorded in an animation.,,,,,,,,,
ui_preset_material_notify,Editing a preset material. Use property actions to choose which settings it contains.,,,,,,,,,
ui_preset_name,Preset name,,,,,,,,,
ui_preset_revert,Revert ,,,,,,,,,
ui_preset_section_preset,Section preset,,,,,,,,,
ui_presets,Presets,Voreinstellungen,プリセット,Preajustes,,,,预设,프리셋,
ui_queue_alpha_test,AlphaTest,,,,,,,,,
ui_queue_background,Background,,,,,,,,,
ui_queue_geometry,Geometry,,,,,,,,,
ui_queue_overlay,Overlay,,,,,,,,,
ui_queue_shader,From Shader,,,,,,,,,
ui_queue_transparent,Transparent,,,,,,,,,
ui_red,Red,Rot,赤,Rojo,,,,红,빨강,
ui_render_queue,Render Queue,,,,,,,,,
ui_retry,Retry,Erneut versuchen,再試行,Reintentar,,,,重试,다시 시도,
ui_save_and_close,Save and close,Speichern und schließen,保存して閉じる,Guardar y cerrar,,,,保存并关闭,저장 후 닫기,
ui_studio_add_source,Add source,,,,,,,,,
ui_studio_adjustments,Image adjustments,Bildanpassungen,画像調整,Ajustes de imagen,,,,图像调整,이미지 조정,
ui_studio_advanced_routing,Advanced routing,,,,,,,,,
ui_studio_alpha_transparency,Alpha is transparency,,,,,,,,,
ui_studio_brightness,Brightness,,,,,,,,,
ui_studio_channel,Channel,,,,,,,,,
ui_studio_clear_missing_source,Clear missing source,,,,,,,,,
ui_studio_color,Color,Farbe,色,Color,,,,颜色,색상,
ui_studio_color_space,Color space,,,,,,,,,
ui_studio_combine,Combine,,,,,,,,,
ui_studio_combined,Combined,Kombiniert,合成,Combinado,,,,合并,합성,
ui_studio_direction,Direction,Richtung,方向,Dirección,,,,方向,방향,
ui_studio_export_channels,Export individual channels,,,,,,,,,
ui_studio_export_color,Export as color,,,,,,,,,
ui_studio_export_grayscale,Export as grayscale,,,,,,,,,
ui_studio_filter,Filter,Filter,フィルター,Filtro,,,,滤镜,필터,
ui_studio_filtering,Filtering,Filterung,フィルタリング,Filtrado,,,,过滤,필터링,
ui_studio_folder,Folder,,,,,,,,,
ui_studio_format,Format,,,,,,,,,
ui_studio_gradient,Gradient,Verlauf,グラデーション,Degradado,,,,渐变,그라디언트,
ui_studio_grayscale,Grayscale,,,,,,,,,
ui_studio_horizontal_kernel,Horizontal kernel,,,,,,,,,
ui_studio_hue,Hue,,,,,,,,,
ui_studio_intro,Combine sources into one texture. Preview changes before saving.,,,,,,,,,
ui_studio_invert,Invert,Invertieren,反転,Invertir,,,,反转,반전,
ui_studio_jpeg_quality,JPEG quality,,,,,,,,,
ui_studio_missing_source_hint,"Source missing. Reassign it, or clear it to use the fallback.",,,,,,,,,
ui_studio_multiple_sources,Multiple sources,,,,,,,,,
ui_studio_offset,Offset,,,,,,,,,
ui_studio_open_saved,Open saved texture,,,,,,,,,
ui_studio_output,Output,Ausgabe,出力,Salida,,,,输出,출력,
ui_studio_passes,Passes,,,,,,,,,
ui_studio_preview,Preview,Vorschau,プレビュー,Vista previa,,,,预览,미리보기,
ui_studio_range,Input / output range,,,,,,,,,
ui_studio_remap,Remap,,,,,,,,,
ui_studio_remove_source,Remove source,,,,,,,,,
ui_studio_reset_adjustments,Reset adjustments,,,,,,,,,
ui_studio_resolution,Resolution,,,,,,,,,
ui_studio_rotation,Rotation,,,,,,,,,
ui_studio_routing,Channel routing,Kanalzuordnung,チャンネルの割り当て,Asignación de canales,,,,通道映射,채널 연결,
ui_studio_saturation,Saturation,,,,,,,,,
ui_studio_save,Save texture,Textur speichern,テクスチャを保存,Guardar textura,,,,保存纹理,텍스처 저장,
ui_studio_saved,Saved,,,,,,,,,
ui_studio_scale,Scale,,,,,,,,,
ui_studio_separate_directions,Separate directions,,,,,,,,,
ui_studio_sizing,Sizing,,,,,,,,,
ui_studio_source,Source,Quelle,ソース,Fuente,,,,来源,소스,
ui_studio_source_options,Source options,Quelloptionen,ソース設定,Opciones de fuente,,,,来源选项,소스 옵션,
ui_studio_sources,Sources,Quellen,ソース,Fuentes,,,,来源,소스,
ui_studio_strength,Strength,,,,,,,,,
ui_studio_title,Texture studio,Textur-Studio,テクスチャスタジオ,Estudio de texturas,,,,纹理工作室,텍스처 스튜디오,
ui_studio_two_passes,Two passes,,,,,,,,,
ui_studio_vertical_kernel,Vertical kernel,,,,,,,,,
ui_studio_when_empty,When empty,,,,,,,,,
ui_texture_shader_owned,This texture is supplied by the shader and cannot be reassigned.,,,,,,,,,
ui_texture_size,Texture size,Texturgröße,テクスチャサイズ,Tamaño de textura,,,,纹理尺寸,텍스처 크기,
ui_unlock_shader,Unlock Shader,,,,,,,,,
ui_vertical_down,Vertical down,Vertikal abwärts,下方向,Vertical hacia abajo,,,,垂直向下,세로 아래쪽,
ui_vertical_up,Vertical up,Vertikal aufwärts,上方向,Vertical hacia arriba,,,,垂直向上,세로 위쪽,
ui_wrap,Wrap,Wiederholung,ラップモード,Repetición,,,,包裹模式,랩 모드,
